Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
City-temp.csv,17,3.6910457963089542,11.0,1.0,10.0,10.716796875,2.7518272399902344,1.6588632372773333,0.16617790811339198,11.0,11.0,17,56.888888888888886,0.0283203125
City-temp.csv,18,4.276985743380855,11.0,1.0,10.0,10.84375,1.5380859375,1.2401959270615268,0.15640273704789834,11.0,11.0,16,60.23529411764706,0.015625
City-temp.csv,19,4.276985743380855,11.0,1.0,10.0,10.990234375,0.09756088256835938,0.312347374838271,0.019550342130987292,11.0,11.0,2,341.3333333333333,9.765625E-4
City-temp.csv,20,4.276985743380855,11.0,1.0,10.0,10.931640625,0.6789207458496094,0.8239664713139785,0.07820136852394917,11.0,11.0,8,113.77777777777777,0.0068359375
City-temp.csv,21,4.276985743380855,11.0,1.0,10.0,10.94140625,0.5825042724609375,0.7632196751007783,0.11730205278592376,11.0,11.0,12,78.76923076923077,0.005859375
City-temp.csv,22,4.276985743380855,11.0,1.0,10.0,9.662109375,11.58895492553711,3.4042554142627295,0.9872922776148583,11.0,11.0,101,10.03921568627451,0.1337890625
City-temp.csv,23,2.286902286902287,11.0,1.0,10.0,8.568359375,18.40353012084961,4.289933580004428,2.013685239491691,11.0,11.0,206,4.946859903381642,0.2431640625
City-temp.csv,24,4.276985743380855,11.0,1.0,10.0,10.404296875,5.602169036865234,2.366890161554869,0.5865102639296188,11.0,11.0,60,16.78688524590164,0.0595703125
City-temp.csv,25,3.622693096377307,11.0,1.0,10.0,10.7265625,2.65960693359375,1.6308301363396955,0.19550342130987292,11.0,11.0,20,48.76190476190476,0.02734375
City-temp.csv,26,4.276985743380855,11.0,1.0,10.0,10.609375,3.753662109375,1.9374369949433194,0.3128054740957967,11.0,11.0,32,31.03030303030303,0.0390625
City-temp.csv,27,4.276985743380855,11.0,1.0,10.0,10.599609375,3.8435935974121094,1.96050850480484,0.3128054740957967,11.0,11.0,32,31.03030303030303,0.0400390625
